model,num_rules,seed,accuracy,omission_pct,modification_pct,recency_ratio,latency
meta-llama/llama-4-scout,110,0,15.454545454545453,97.84946236559139,2.1505376344086025,0.9655172413793103,12.204942226409912
openai/o3,110,0,99.0909090909091,0.0,100.0,,29.962270975112915
google/gemini-2.5-pro-preview,110,0,100.0,0.0,0.0,,44.83479285240173
openai/gpt-4o,120,0,46.666666666666664,87.5,12.5,0.95,8.628645896911621
x-ai/grok-3-mini-beta,100,0,90.0,60.0,40.0,3.0,11.550889015197754
openai/gpt-4.1,120,0,90.0,33.33333333333333,66.66666666666666,1.3333333333333335,16.982455015182495
openai/gpt-4.1-mini,120,0,75.83333333333333,68.96551724137932,31.03448275862069,2.8,12.36522102355957
openai/o3,120,0,100.0,0.0,0.0,,39.30785918235779
openai/gpt-4.5-preview,120,0,80.0,54.166666666666664,45.83333333333333,0.7777777777777777,34.983749866485596
anthropic/claude-3.5-haiku,120,0,30.0,94.04761904761905,5.952380952380952,1.25,10.695533990859984
anthropic/claude-sonnet-4,120,0,92.5,66.66666666666666,33.33333333333333,0.0,31.36391592025757
google/gemini-2.5-flash-preview-05-20,120,0,83.33333333333334,90.0,10.0,2.25,12.225275039672852
openai/o4-mini,120,0,95.83333333333334,40.0,60.0,,59.06790590286255
deepseek/deepseek-r1-0528,90,0,83.33333333333334,46.666666666666664,53.333333333333336,2.333333333333333,19.970185041427612
meta-llama/llama-4-scout,120,0,26.666666666666668,90.9090909090909,9.090909090909092,1.0714285714285714,7.299744844436645
anthropic/claude-3.7-sonnet,120,0,85.83333333333333,76.47058823529412,23.52941176470588,,45.08119487762451
x-ai/grok-3-beta,120,0,96.66666666666667,75.0,25.0,,23.155757188796997
meta-llama/llama-4-scout,100,0,24.0,92.10526315789474,7.894736842105263,0.8214285714285715,10.749983072280884
google/gemini-2.5-pro-preview,120,0,100.0,0.0,0.0,,58.56936597824097
openai/gpt-4.1-nano,120,0,42.5,79.71014492753623,20.28985507246377,1.6666666666666665,5.978204011917114
anthropic/claude-opus-4,110,0,79.0909090909091,82.6086956521739,17.391304347826086,1.0,146.617506980896
openai/gpt-4.5-preview,130,0,80.0,69.23076923076923,30.76923076923077,0.5833333333333334,37.09730887413025
openai/gpt-4o-mini,130,0,31.538461538461537,86.51685393258427,13.48314606741573,0.9,11.66904592514038
openai/gpt-4.1-nano,80,0,51.24999999999999,76.92307692307693,23.076923076923077,1.1666666666666665,7.015210866928101
deepseek/deepseek-r1-0528,120,0,70.0,77.77777777777779,22.22222222222222,1.5,37.17547011375427
meta-llama/llama-4-maverick,120,0,26.666666666666668,94.31818181818183,5.681818181818182,1.0,5.965341091156006
openai/gpt-4o,130,0,50.0,75.38461538461539,24.615384615384617,1.3333333333333333,12.494075059890749
openai/o4-mini,80,0,98.75,0.0,100.0,,38.81989669799805
qwen/qwen3-235b-a22b,90,0,70.0,59.25925925925925,40.74074074074074,1.375,40.234885931015015
openai/gpt-4.1,130,0,93.07692307692308,100.0,0.0,1.0,18.796759605407715
google/gemini-2.5-flash-preview-05-20,130,0,82.3076923076923,95.65217391304348,4.3478260869565215,7.000000000000001,10.806940078735352
anthropic/claude-3.5-haiku,130,0,30.76923076923077,91.11111111111111,8.88888888888889,1.4166666666666665,11.798797130584717
openai/gpt-4.1-mini,130,0,77.6923076923077,62.06896551724138,37.93103448275862,1.625,19.175589084625244
anthropic/claude-opus-4,120,0,92.5,33.33333333333333,66.66666666666666,0.2,126.34163308143616
anthropic/claude-sonnet-4,130,0,91.53846153846153,72.72727272727273,27.27272727272727,1.0,32.20190405845642
x-ai/grok-3-mini-beta,120,0,84.16666666666667,63.1578947368421,36.84210526315789,3.0,9.71846604347229
x-ai/grok-3-beta,130,0,96.92307692307692,75.0,25.0,,28.170774221420288
deepseek/deepseek-r1-0528,130,0,76.15384615384615,80.64516129032258,19.35483870967742,1.5714285714285714,24.16977906227112
openai/o4-mini,110,0,97.27272727272728,0.0,100.0,0.5,70.34773182868958
google/gemini-2.5-pro-preview,130,0,94.61538461538461,100.0,0.0,1.0,37.24006390571594
x-ai/grok-3-mini-beta,130,0,83.84615384615385,57.14285714285714,42.857142857142854,2.5,10.966615915298462
anthropic/claude-3.7-sonnet,130,0,83.84615384615385,76.19047619047619,23.809523809523807,3.0,48.43449878692627
openai/gpt-4o-mini,120,0,30.833333333333336,91.56626506024097,8.433734939759036,1.2608695652173914,12.053925037384031
openai/gpt-4.1-mini,140,0,66.42857142857143,80.85106382978722,19.148936170212767,2.1,11.32837200164795
openai/gpt-4o,140,0,42.857142857142854,77.5,22.5,1.2727272727272727,13.620788097381592
anthropic/claude-opus-4,130,0,96.92307692307692,75.0,25.0,1.0,81.47840905189514
meta-llama/llama-4-scout,130,0,16.923076923076923,97.22222222222221,2.7777777777777777,0.7142857142857143,16.38037395477295
openai/gpt-4o-mini,140,0,28.57142857142857,86.0,14.000000000000002,1.4230769230769231,13.606972932815552
anthropic/claude-3.5-haiku,140,0,32.142857142857146,95.78947368421052,4.2105263157894735,1.9047619047619049,13.907355785369871
openai/gpt-4.1-nano,140,0,36.42857142857142,84.26966292134831,15.730337078651685,2.4705882352941178,5.742182970046997
meta-llama/llama-4-maverick,130,0,30.76923076923077,91.11111111111111,8.88888888888889,1.0344827586206897,6.576527833938599
google/gemini-2.5-flash-preview-05-20,140,0,67.85714285714286,88.88888888888889,11.11111111111111,6.25,12.00598120689392
openai/o3,140,0,95.0,85.71428571428571,14.285714285714285,1.5,26.506279945373535
openai/o3,130,0,96.15384615384616,100.0,0.0,3.0,30.876678943634033
openai/gpt-4.1,140,0,89.28571428571429,53.333333333333336,46.666666666666664,0.8333333333333334,24.315054893493652
qwen/qwen3-235b-a22b,110,0,80.0,68.18181818181817,31.818181818181817,2.0,81.78655815124512
meta-llama/llama-4-scout,140,0,15.714285714285714,95.76271186440678,4.23728813559322,1.2727272727272727,7.474765062332153
openai/o4-mini,90,0,96.66666666666667,0.0,100.0,1.0,82.93959712982178
anthropic/claude-sonnet-4,140,0,83.57142857142857,65.21739130434783,34.78260869565217,1.0,46.916752099990845
anthropic/claude-3.7-sonnet,140,0,87.14285714285714,77.77777777777779,22.22222222222222,3.25,42.01168894767761
x-ai/grok-3-beta,140,0,96.42857142857143,100.0,0.0,2.0,28.10174584388733
deepseek/deepseek-r1-0528,140,0,62.857142857142854,75.0,25.0,1.0,23.901270866394043
meta-llama/llama-4-maverick,140,0,100.0,0.0,0.0,,12.985939979553224
qwen/qwen3-235b-a22b,140,0,57.14285714285714,86.66666666666667,13.333333333333334,2.0833333333333335,35.112590074539185
openai/gpt-4o-mini,150,0,28.000000000000004,85.18518518518519,14.814814814814813,1.3,10.697307109832764
openai/gpt-4.1-mini,150,0,57.99999999999999,65.07936507936508,34.92063492063492,2.909090909090909,15.37018871307373
google/gemini-2.5-pro-preview,140,0,94.28571428571428,100.0,0.0,2.5,50.647207736968994
openai/gpt-4o,150,0,36.666666666666664,89.47368421052632,10.526315789473683,1.3076923076923077,14.507565021514893
x-ai/grok-3-mini-beta,110,0,80.0,63.63636363636363,36.36363636363637,1.5,9.649761199951172
openai/gpt-4.5-preview,140,0,80.0,60.71428571428571,39.285714285714285,1.0,35.54772400856018
openai/gpt-4.1,150,0,85.33333333333334,63.63636363636363,36.36363636363637,0.857142857142857,28.62437129020691
anthropic/claude-3.5-haiku,150,0,28.666666666666668,95.32710280373831,4.672897196261682,1.72,12.907384872436523
google/gemini-2.5-flash-preview-05-20,150,0,81.33333333333333,71.42857142857143,28.57142857142857,4.333333333333334,13.040164232254028
anthropic/claude-sonnet-4,150,0,82.66666666666667,69.23076923076923,30.76923076923077,1.1111111111111112,32.21680307388306
x-ai/grok-3-beta,150,0,96.0,66.66666666666666,33.33333333333333,5.0,27.950395107269287
meta-llama/llama-4-scout,150,0,24.0,92.10526315789474,7.894736842105263,1.28125,8.554844379425049
anthropic/claude-3.7-sonnet,150,0,84.0,79.16666666666666,20.833333333333336,6.5,47.320183992385864
x-ai/grok-3-mini-beta,140,0,74.28571428571429,75.0,25.0,3.3333333333333335,13.094067335128784
anthropic/claude-opus-4,140,0,96.42857142857143,100.0,0.0,0.5,79.74613571166992
deepseek/deepseek-r1-0528,150,0,60.66666666666667,76.27118644067797,23.728813559322035,1.9166666666666667,32.504709005355835
x-ai/grok-3-mini-beta,150,0,82.66666666666667,53.84615384615385,46.15384615384615,3.75,10.920543909072876
openai/o3,160,0,91.875,92.3076923076923,7.6923076923076925,1.0,23.495476961135864
openai/gpt-4.1-nano,130,0,47.69230769230769,77.94117647058823,22.058823529411764,1.7333333333333332,6.312448740005493
meta-llama/llama-4-maverick,150,0,25.333333333333336,94.64285714285714,5.357142857142857,1.4333333333333333,4.974979877471924
openai/gpt-4.1-mini,160,0,63.125,72.88135593220339,27.11864406779661,2.5454545454545454,12.913256883621216
openai/gpt-4.1,160,0,88.75,55.55555555555556,44.44444444444444,1.0,21.07084894180298
openai/gpt-4.5-preview,160,0,75.625,66.66666666666666,33.33333333333333,1.875,34.232455015182495
openai/gpt-4.5-preview,150,0,80.66666666666666,79.3103448275862,20.689655172413794,1.3333333333333333,35.787002086639404
anthropic/claude-3.5-haiku,160,0,22.5,90.32258064516128,9.67741935483871,1.7857142857142858,9.813601016998293
